run,elapsed,latency,dblatency,ttype,rbk,dskipped,error
3,388139,3746,3746,NEW_ORDER,0,0,0
3,391698,3766,3766,NEW_ORDER,0,0,0
3,391729,31,31,PAYMENT,0,0,0
3,393779,5640,5640,NEW_ORDER,0,0,0
3,393797,18,18,PAYMENT,0,0,0
3,393843,2114,2114,PAYMENT,0,0,0
3,393869,26,26,PAYMENT,0,0,0
3,394015,218,218,STOCK_LEVEL,0,0,0
3,396449,2433,2433,NEW_ORDER,0,0,0
3,398297,4428,4428,NEW_ORDER,0,0,0
3,398317,20,20,PAYMENT,0,0,0
3,398339,22,22,PAYMENT,0,0,0
3,398363,24,24,PAYMENT,0,0,0
3,399700,3251,3251,NEW_ORDER,0,0,0
3,399700,0,0,DELIVERY,0,0,0
3,400579,2216,2216,NEW_ORDER,0,0,0
3,400830,251,251,STOCK_LEVEL,0,0,0
3,400831,1,1,DELIVERY,0,0,0
3,403189,3489,3489,DELIVERY_BG,0,0,0
3,403222,33,33,PAYMENT,0,0,0
3,403265,43,43,PAYMENT,0,0,0
3,403501,236,236,ORDER_STATUS,0,0,0
3,403530,29,29,PAYMENT,0,0,0
3,405084,1554,1554,NEW_ORDER,0,0,0
3,407470,6639,6639,DELIVERY_BG,0,0,0
3,409137,4053,4053,NEW_ORDER,0,0,0
3,411831,4360,4360,NEW_ORDER,0,0,0
3,411831,0,0,DELIVERY,0,0,0
3,412899,3762,3762,NEW_ORDER,0,0,0
3,416415,4584,4584,DELIVERY_BG,0,0,0
3,416774,3875,3875,NEW_ORDER,0,0,0
3,416803,29,29,PAYMENT,0,0,0
3,419666,3251,3251,NEW_ORDER,0,0,0
3,422062,2396,2396,NEW_ORDER,0,0,0
3,422161,5357,5357,NEW_ORDER,0,0,0
3,422188,27,27,PAYMENT,0,0,0
3,426136,4074,4074,NEW_ORDER,0,0,0
3,427145,4957,4957,NEW_ORDER,0,0,0
3,428140,2003,2003,NEW_ORDER,0,0,0
3,431050,3904,3904,NEW_ORDER,0,0,0
3,431072,2931,2931,PAYMENT,0,0,0
